दिनांक,श्रेणी,राशि,विवरण,माध्यम
15/08/2026,कार्यक्रम,3500,स्वतंत्रता दिवस कार्यक्रम — बैनर/झंडे/सजावट,Cash
15/08/2026,जलपान,1200,स्वतंत्रता दिवस — चाय/नाश्ता,Cash
10/08/2026,यात्रा,800,जोधपुर मीटिंग — बस किराया,UPI
05/08/2026,प्रिंट,650,फ्लायर व पोस्टर प्रिंटिंग,Cash
01/08/2026,खेल सामग्री,2000,हैंडबॉल — नई बॉल व नेट,Cash
25/07/2026,पुरस्कार,5000,खिलाड़ी पुरस्कार समारोह — ट्रॉफी व प्रमाणपत्र,Cash
20/07/2026,वृक्षारोपण,1500,पौधे खरीद — 50 पौधे,Cash
15/07/2026,कार्यालय,450,स्टेशनरी — रजिस्टर/पेन/फाइल,Cash
10/07/2026,यात्रा,1200,जयपुर ITRHD मीटिंग — ट्रेन किराया,Bank
05/07/2026,जलपान,900,मासिक बैठक — चाय/नाश्ता,Cash
01/07/2026,छात्रवृत्ति,2500,नेनजी फाउंडेशन छात्रवृत्ति सहयोग,Cash
20/06/2026,कार्यक्रम,4000,पर्यावरण दिवस कार्यक्रम खर्च,Cash
15/06/2026,प्रिंट,800,बैनर — ओरण बचाओ अभियान,Cash
